<SideQuestSpareCfg>
  <!--1=Clean 2=time 3=res 4=rescue 5=Boss-->
  <SideQuestOrder level="1" scene="COM2_KILL_1" mode="1" boss="0" />
  <SideQuestOrder level="2" scene="Junkyard" mode="1" boss="0" />
  <SideQuestOrder level="3" scene="COM2_EASY_1" mode="4" boss="0" />
  <SideQuestOrder level="4" scene="Church" mode="3" boss="0" />
  <SideQuestOrder level="5" scene="Depot" mode="5" boss="FatCook" />
  <SideQuestOrder level="6" scene="Lab_Defend_01" mode="2" boss="0" />
  <SideQuestOrder level="7" scene="COM2_KILL_3" mode="3" boss="0" />
  <SideQuestOrder level="8" scene="Junkyard" mode="2" boss="0" />
  <SideQuestOrder level="9" scene="Lab_Kill_01" mode="1" boss="0" />
  <SideQuestOrder level="10" scene="Depot" mode="5" boss="Haoke_A" />
  <SideQuestOrder level="11" scene="COM2_EASY_3" mode="4" boss="0" />
  <SideQuestOrder level="12" scene="COM2_KILL_3" mode="1" boss="0" />
  <SideQuestOrder level="13" scene="Lab_Defend_01" mode="1" boss="0" />
  <SideQuestOrder level="14" scene="Lab_Kill_02" mode="1" boss="0" />
  <SideQuestOrder level="15" scene="Church" mode="5" boss="Wrestler" />
  <SideQuestOrder level="16" scene="Depot" mode="2" boss="0" />
  <SideQuestOrder level="17" scene="Lab_Kill_03" mode="1" boss="0" />
  <SideQuestOrder level="18" scene="Lab_Defend_02" mode="1" boss="0" />
  <SideQuestOrder level="19" scene="COM2_KILL_3" mode="1" boss="0" />
  <SideQuestOrder level="20" scene="Junkyard" mode="5" boss="Halloween" />
  <SideQuestOrder level="21" scene="Depot" mode="2" boss="0" />      
  <SideQuestOrder level="22" scene="Lab_Kill_01" mode="1" boss="0" />
  <SideQuestOrder level="23" scene="COM2_KILL_4" mode="1" boss="0" />
  <SideQuestOrder level="24" scene="Depot" mode="2" boss="0" />
  <SideQuestOrder level="25" scene="Lab_Boss_01" mode="5" boss="Shark" />
  <SideQuestOrder level="26" scene="Lab_Defend_02" mode="1" boss="0" />
  <SideQuestOrder level="27" scene="COM2_KILL_2" mode="1" boss="0" />
  <SideQuestOrder level="28" scene="Church" mode="3" boss="0" />
  <SideQuestOrder level="29" scene="Junkyard" mode="1" boss="0" />
  <SideQuestOrder level="30" scene="Depot" mode="5" boss="FatCook_E" />
  <SideQuestOrder level="31" scene="Lab_Kill_03" mode="1" boss="0" />
  <SideQuestOrder level="32" scene="COM2_KILL_5" mode="2" boss="0" />
  <SideQuestOrder level="33" scene="COM2_HARD_1" mode="1" boss="0" />
  <SideQuestOrder level="34" scene="COM2_KILL_2" mode="1" boss="0" />
  <SideQuestOrder level="35" scene="Church" mode="5" boss="Haoke_B" />
  <SideQuestOrder level="36" scene="Lab_Kill_02" mode="1" boss="0" />
  <SideQuestOrder level="37" scene="Junkyard" mode="3" boss="0" />
  <SideQuestOrder level="38" scene="COM2_ZERO_1" mode="2" boss="0" />
  <SideQuestOrder level="39" scene="Lab_Defend_02" mode="1" boss="0" />
  <SideQuestOrder level="40" scene="Lab_Boss_02" mode="5" boss="Wrestler_E" />
  <SideQuestOrder level="41" scene="Depot" mode="3" boss="0" />
  <SideQuestOrder level="42" scene="Lab_Kill_03" mode="1" boss="0" />
  <SideQuestOrder level="43" scene="Church" mode="2" boss="0" />
  <SideQuestOrder level="44" scene="Junkyard" mode="3" boss="0" />
  <SideQuestOrder level="45" scene="Depot" mode="5" boss="Halloween_E" />
  <SideQuestOrder level="46" scene="Lab_Kill_01" mode="1" boss="0" />
  <SideQuestOrder level="47" scene="COM2_HARD_1" mode="2" boss="0" />
  <SideQuestOrder level="48" scene="COM2_KILL_5" mode="1" boss="0" />
  <SideQuestOrder level="49" scene="COM2_NORMAL_1" mode="4" boss="0" />
  <SideQuestOrder level="50" scene="Lab_Boss_02" mode="5" boss="Shark_E" />
</SideQuestSpareCfg>
